40 1600
27 29 8
15 23 2
7 0 6
5 14 14
13 19 3
33 26 11
4 10 16
27 19 9
12 39 2
15 19 7
16 25 8
20 17 5
37 19 7
39 8 7
29 5 9
1 2 2
0 9 5
39 14 8
24 5 12
28 3 4
3 29 14
14 38 6
3 35 7
16 35 15
16 14 9
10 31 2
30 13 2
5 11 7
29 15 1
36 15 1
14 25 6
19 5 9
11 2 5
34 5 11
30 34 11
8 1 2
38 31 2
25 11 5
12 18 4
23 21 5
9 34 8
16 33 6
25 19 11
37 2 5
13 4 4
11 19 11
38 1 5
28 31 9
15 33 6
15 9 6
0 37 2
30 36 11
4 19 10
28 15 14
31 36 16
3 12 4
29 38 1
16 14 11
11 30 6
27 14 14
1 10 13
24 32 8
12 34 3
17 27 8
25 23 3
8 28 6
21 10 8
2 39 3
14 26 9
30 4 12
26 7 2
34 12 4
35 9 12
7 19 12
16 3 13
26 11 10
20 37 4
19 34 10
6 9 1
9 6 8
32 7 2
26 23 9
8 34 14
39 22 10
17 39 11
18 19 16
22 15 2
8 2 3
1 3 8
37 32 3
27 2 8
34 28 2
30 6 3
0 21 2
12 23 10
13 38 3
28 35 7
6 20 1
23 38 10
13 8 6
34 0 2
14 7 2
37 14 1
35 29 10
30 6 1
37 36 1
8 20 7
16 15 15
8 23 12
36 33 4
32 1 16
19 2 5
20 34 12
28 0 6
28 32 3
27 1 16
5 2 5
22 32 1
25 15 4
0 27 10
25 35 15
14 12 15
24 15 2
1 22 13
1 30 4
12 31 8
12 25 6
19 27 4
33 14 12
1 36 11
36 21 7
4 11 8
34 30 12
11 32 15
22 19 16
25 31 7
7 24 6
21 25 9
8 18 13
3 16 16
34 21 15
29 9 3
21 30 3
9 29 11
18 6 13
14 31 16
7 33 3
30 26 3
28 11 14
20 6 15
3 5 6
28 7 11
0 16 12
12 30 16
16 25 2
35 10 4
15 31 9
33 7 14
27 28 8
38 31 12
18 12 8
17 30 13
31 27 14
10 38 11
4 18 14
35 39 14
31 39 12
17 35 13
2 21 6
29 28 10
11 14 1
29 14 4
2 25 16
37 3 2
6 28 11
17 36 7
27 10 4
8 26 8
6 27 11
28 10 9
10 39 1
19 37 10
33 26 6
39 0 13
5 38 8
16 18 14
37 16 4
39 14 5
33 39 3
25 29 13
34 15 8
3 23 8
24 26 15
9 18 1
24 38 7
15 38 9
26 35 3
33 17 11
23 14 3
35 28 13
9 13 4
26 36 13
30 9 11
25 27 8
8 15 6
16 25 2
24 11 14
20 28 5
12 39 11
7 12 10
28 19 10
38 2 14
11 26 10
14 15 8
36 28 8
28 12 7
19 37 11
10 38 13
25 30 3
15 5 8
13 36 1
3 18 15
17 10 14
13 7 7
14 10 15
28 5 10
20 35 4
29 4 3
19 30 15
8 17 16
3 15 15
14 20 7
7 30 10
2 27 10
13 6 6
27 15 12
8 23 15
35 4 4
11 21 2
14 32 7
11 22 10
39 7 11
30 8 16
37 17 14
5 19 8
21 31 9
18 5 9
19 32 7
35 24 1
9 31 14
18 36 2
36 15 10
32 9 11
22 2 6
22 0 12
26 15 8
11 20 12
4 8 5
27 24 1
17 32 12
21 20 8
7 13 6
28 18 9
14 1 3
6 25 3
28 13 13
31 30 4
10 27 13
20 7 9
19 6 6
22 35 6
34 20 9
29 8 2
5 20 6
20 33 5
15 23 9
33 22 4
39 15 9
28 2 12
22 25 9
12 0 3
27 0 11
10 0 11
19 11 1
36 12 1
14 3 12
11 30 8
13 4 5
22 28 4
26 5 9
19 16 15
24 7 2
9 27 8
2 35 4
30 28 10
14 26 7
17 23 4
30 21 14
1 13 10
9 22 13
28 17 2
5 11 4
24 32 7
38 28 2
10 15 15
33 30 7
0 1 5
3 37 12
30 27 1
30 25 2
30 35 1
25 7 3
0 27 14
2 21 14
24 9 3
26 22 4
0 24 13
16 15 6
38 25 9
27 38 13
13 8 7
3 29 16
12 29 6
16 26 7
34 7 7
28 2 10
11 23 1
29 13 15
1 23 5
25 20 12
28 7 3
5 6 15
2 3 11
27 26 3
31 10 11
0 29 5
12 25 15
7 39 5
16 37 6
6 28 12
9 15 9
39 22 8
18 16 15
38 30 9
13 39 14
5 32 5
28 20 7
23 20 10
14 9 4
34 11 7
39 4 4
16 28 2
17 19 7
27 17 2
8 7 14
9 16 16
13 14 2
5 19 13
36 32 13
13 25 5
11 38 5
4 32 6
7 14 12
13 37 5
0 30 5
20 39 2
24 18 5
33 6 2
3 30 8
25 38 10
36 25 7
14 30 15
21 16 3
17 2 12
10 18 2
28 27 13
38 35 14
3 0 2
10 5 8
3 31 10
20 6 11
21 17 14
9 14 16
8 36 14
33 35 2
20 38 1
27 30 1
12 10 4
5 1 2
37 33 13
9 24 13
6 11 2
2 8 4
23 12 5
31 38 6
38 13 1
1 31 11
14 31 10
19 12 13
31 14 15
19 4 16
24 29 16
38 22 1
22 12 6
17 31 10
7 25 11
11 1 6
8 31 12
27 39 5
12 16 9
39 10 15
13 18 13
31 8 10
5 20 6
2 5 14
23 29 6
16 17 4
22 15 6
36 14 10
20 15 12
24 13 3
1 9 12
12 35 6
1 26 7
17 8 10
25 27 6
19 22 6
15 39 2
34 35 10
9 4 9
31 23 5
19 8 10
3 21 3
35 38 7
38 6 15
29 36 13
12 10 12
26 2 8
17 6 5
6 16 3
24 33 15
0 26 16
34 35 16
16 18 7
1 39 6
34 18 14
2 30 16
11 5 13
9 2 16
26 29 11
38 11 1
35 27 16
26 23 9
2 0 10
37 36 13
21 0 5
23 24 9
24 26 3
12 32 5
27 29 7
10 38 9
37 9 1
1 33 7
36 19 7
30 22 9
11 35 2
3 23 11
8 5 3
21 39 13
5 39 13
16 8 2
15 5 6
1 17 2
20 3 6
16 10 7
13 11 5
20 26 12
12 3 15
6 19 12
16 0 4
33 38 12
21 11 15
21 20 16
18 5 12
34 16 12
19 2 4
31 28 6
39 20 11
15 3 1
23 14 16
39 1 6
25 36 3
11 25 2
11 19 5
38 7 6
38 4 5
11 16 2
30 37 6
29 5 3
24 29 11
24 9 3
8 18 5
0 4 7
7 1 4
35 39 16
3 28 13
10 35 11
20 32 1
32 22 3
24 22 7
32 30 15
12 38 7
33 10 1
2 15 8
10 15 13
35 25 16
4 36 15
13 20 9
2 13 6
11 12 6
1 11 10
33 3 14
30 7 6
23 5 8
32 38 9
5 7 4
26 25 6
37 30 14
1 34 16
0 13 14
24 20 2
11 36 6
19 8 1
2 18 8
3 0 3
15 0 7
39 28 8
21 8 3
6 33 14
20 15 4
22 36 4
31 39 11
20 11 5
35 24 4
8 37 16
27 19 6
13 21 9
7 37 14
12 28 11
19 34 2
18 38 10
18 28 15
1 18 6
19 14 10
13 19 5
39 26 3
31 11 12
27 35 10
12 10 11
35 20 13
26 39 5
6 5 7
7 19 2
14 17 16
22 14 15
1 10 7
9 23 4
2 9 9
13 1 9
24 32 3
17 3 5
23 6 5
28 1 16
36 2 2
7 15 6
1 39 2
5 27 4
10 7 12
28 36 7
37 1 1
30 15 7
20 19 9
31 10 9
21 6 4
3 26 15
27 8 10
36 20 16
2 13 12
27 11 8
2 9 7
3 14 3
14 11 3
29 9 15
14 36 3
2 36 12
11 3 10
1 20 3
11 17 8
8 25 11
17 10 1
4 12 14
32 31 10
30 19 13
38 36 7
23 30 3
16 11 14
20 18 7
28 0 16
29 31 13
21 3 15
17 2 13
35 33 14
2 7 10
19 14 9
6 12 12
15 32 11
38 9 2
0 14 14
27 8 16
30 37 12
23 12 4
10 13 12
7 20 1
22 39 13
7 3 9
26 8 13
37 24 14
31 38 11
22 32 6
37 2 15
34 6 3
11 17 14
31 19 1
7 37 6
19 0 10
36 35 14
22 29 10
1 30 7
37 6 15
28 39 13
24 21 11
0 11 11
33 21 5
32 38 11
32 22 6
12 38 16
29 20 1
1 32 16
13 25 3
1 3 2
32 33 5
29 6 13
17 13 14
18 10 5
20 12 3
21 14 3
26 3 11
29 3 14
26 31 11
33 32 12
8 5 6
30 27 2
8 10 10
12 31 8
15 33 9
39 34 7
11 15 9
37 23 5
26 10 7
6 12 16
25 19 10
14 20 9
6 7 14
6 13 9
34 27 3
19 12 9
10 28 14
7 28 14
8 4 3
34 14 12
4 5 16
27 14 8
22 37 12
3 20 7
11 37 2
7 37 5
2 34 9
27 1 16
6 35 6
27 12 5
39 26 7
0 39 2
32 19 10
21 32 4
18 35 15
26 22 2
20 18 4
8 29 5
29 27 9
37 25 3
32 27 10
28 27 16
31 7 7
36 9 3
23 34 6
15 24 12
16 31 5
35 20 1
32 1 14
0 39 12
19 17 4
25 18 1
38 16 12
32 39 10
20 29 2
31 3 8
30 7 4
4 20 10
29 18 1
25 16 6
32 22 2
26 39 12
2 5 8
19 10 16
7 25 12
39 28 8
24 20 12
6 19 11
10 36 15
28 23 7
22 35 10
9 34 2
14 4 13
34 1 13
14 4 6
33 11 13
39 5 5
30 37 9
2 34 3
36 39 10
15 27 5
30 39 5
3 25 1
0 17 10
32 18 16
29 7 12
1 17 11
36 26 11
0 21 10
27 16 12
37 33 3
6 37 6
0 4 11
17 38 10
39 19 9
19 3 16
30 35 1
25 27 7
1 31 2
30 9 4
38 12 2
16 1 7
21 18 7
8 14 9
15 38 9
33 29 15
29 30 13
15 3 15
21 19 3
17 12 2
6 4 5
12 32 9
19 38 2
39 33 16
34 20 11
21 3 11
32 14 12
7 5 9
17 11 12
27 25 2
37 3 15
35 4 8
14 36 4
0 12 10
14 37 11
8 2 14
29 15 2
20 18 13
16 1 5
13 34 5
2 12 6
17 16 5
32 11 12
3 38 9
5 2 10
27 15 13
17 3 14
9 21 2
21 2 10
31 21 6
0 39 9
15 32 1
0 15 16
20 32 2
18 20 11
33 36 13
35 38 6
13 23 12
30 28 9
13 20 4
28 6 5
5 13 14
31 33 11
35 37 4
29 4 5
39 38 16
19 7 1
4 38 2
34 25 6
20 35 12
18 36 14
31 29 8
19 13 11
29 27 3
26 4 14
5 24 5
5 25 7
30 33 2
16 22 4
13 26 3
3 34 8
0 20 5
16 29 10
35 10 14
9 17 16
26 3 5
15 3 11
30 18 9
23 7 11
27 33 11
19 28 7
25 37 3
0 23 15
17 29 5
8 10 8
5 10 9
21 37 16
37 8 5
24 9 14
6 29 6
36 30 14
5 25 10
14 22 3
1 29 9
11 33 9
13 25 2
18 0 4
38 10 15
18 39 6
22 4 15
25 37 8
8 5 5
25 24 5
3 8 7
10 22 12
35 30 10
32 27 6
0 31 8
16 24 3
14 33 2
16 19 8
34 19 10
10 17 9
4 1 5
11 29 2
31 26 15
10 18 11
15 6 9
7 9 9
34 36 10
7 34 9
16 33 9
33 20 3
5 15 8
28 25 13
26 15 10
35 22 13
38 29 14
1 15 3
14 26 2
34 0 15
5 21 9
11 13 16
1 27 10
8 12 8
34 16 1
13 9 16
36 8 5
2 6 9
30 12 2
20 36 11
34 0 13
22 30 1
12 29 12
6 32 16
39 16 2
38 34 14
13 16 2
30 14 4
37 13 14
22 6 11
19 29 13
26 15 2
29 37 9
17 7 11
24 21 11
7 3 5
26 28 2
27 18 14
34 15 5
14 37 3
3 13 6
3 5 7
19 7 12
32 2 15
19 9 9
1 25 12
33 0 3
20 0 15
20 39 8
15 33 5
22 31 7
29 3 12
21 1 11
21 36 12
28 6 5
39 2 13
20 37 13
33 14 8
22 27 16
22 10 2
9 17 1
7 0 3
13 33 4
1 22 12
11 0 10
31 10 1
35 14 10
17 11 11
0 11 5
36 10 2
27 6 2
35 31 15
14 35 15
4 19 12
2 0 6
1 24 13
2 10 5
3 7 9
23 3 6
17 39 14
4 24 3
5 7 6
21 28 16
25 33 8
34 13 1
21 8 11
37 11 8
4 17 2
33 19 11
0 31 15
17 33 11
6 11 13
8 6 16
5 18 15
29 32 1
26 30 8
29 39 14
32 5 6
20 16 4
3 26 1
8 37 8
16 30 16
7 1 7
38 0 8
15 19 5
27 36 3
37 38 14
26 33 10
28 25 7
11 28 10
29 27 9
23 22 9
37 10 12
19 6 6
11 13 10
35 1 1
39 35 14
31 37 14
35 31 6
35 10 7
19 30 10
10 1 1
33 4 1
39 37 4
22 7 1
16 27 11
10 9 8
38 18 8
0 38 12
11 8 16
8 4 14
31 22 12
11 21 3
26 20 4
10 34 2
36 16 8
27 6 9
25 26 7
16 23 15
21 39 11
39 31 15
24 10 5
12 4 16
33 6 10
14 13 12
19 1 4
20 1 3
14 27 8
19 39 14
37 27 4
21 28 14
24 0 8
15 35 8
24 3 12
22 20 9
37 27 5
11 6 11
17 37 14
27 23 4
35 27 11
16 22 6
2 19 12
16 0 12
34 21 14
25 4 14
11 7 9
33 5 13
33 17 16
32 15 14
9 14 16
1 28 9
1 38 14
6 30 6
2 22 11
36 10 16
37 21 15
6 12 4
3 15 8
17 20 15
32 20 1
18 15 1
38 6 4
34 30 9
12 9 8
2 6 15
20 26 7
22 5 3
6 15 8
31 15 15
23 13 8
19 16 6
21 13 9
6 32 1
3 5 12
33 24 3
1 16 7
21 19 2
29 11 12
15 14 12
34 1 5
31 38 6
35 38 14
26 34 11
35 19 10
3 2 12
33 20 13
2 11 6
13 29 7
20 14 1
11 7 7
34 23 6
26 17 12
2 29 13
15 7 11
31 1 4
6 5 8
29 14 1
1 9 6
23 24 11
18 11 16
35 0 6
21 14 10
39 6 6
21 27 12
12 34 8
1 25 16
22 10 3
23 0 7
24 2 14
32 18 8
13 18 15
31 25 16
11 33 10
34 39 16
38 5 8
3 6 2
33 39 5
31 9 9
34 2 1
16 38 16
22 30 8
26 0 5
35 15 13
20 1 13
3 8 10
20 26 10
33 8 10
27 30 10
29 2 16
23 19 14
36 14 10
23 15 4
23 39 6
14 17 5
38 20 12
9 23 15
34 15 15
12 4 11
1 32 1
24 10 3
28 21 16
12 23 11
39 34 3
4 21 9
26 17 11
5 4 7
7 30 5
0 18 14
23 36 15
7 36 5
21 9 6
9 11 13
31 2 6
29 20 5
10 13 11
16 19 16
31 23 4
8 15 2
14 37 15
32 30 10
15 16 5
5 34 6
34 37 7
22 1 3
24 33 1
20 31 10
27 15 2
24 1 12
15 17 13
33 13 7
1 25 14
26 35 7
3 4 4
22 24 2
25 33 3
31 27 8
21 35 16
2 24 14
12 5 1
31 4 1
11 9 6
31 15 15
21 0 3
13 11 8
17 25 9
6 19 3
18 13 15
11 24 9
2 31 11
15 21 15
26 10 4
34 27 4
8 13 5
39 22 12
24 35 6
36 3 1
25 39 12
0 5 16
18 31 4
17 15 11
21 38 15
25 1 13
10 7 8
37 2 14
16 15 16
18 25 15
37 0 12
8 30 11
13 10 1
24 6 5
15 37 9
12 14 11
35 14 12
7 31 15
31 8 4
20 22 5
31 30 15
10 28 4
33 1 3
27 11 5
4 39 11
18 12 1
20 4 7
21 9 16
32 21 13
3 35 12
27 0 5
15 28 1
38 19 9
30 14 4
18 32 2
22 17 2
25 30 6
10 35 8
7 26 2
24 19 8
27 1 4
20 9 6
29 5 16
33 11 10
2 25 5
9 12 4
18 34 8
21 6 5
24 28 7
29 30 12
26 7 16
19 39 6
18 3 12
3 8 14
25 35 13
32 31 14
22 6 2
13 30 15
8 33 5
2 14 13
23 24 15
30 21 2
10 37 14
33 12 14
30 3 7
6 31 5
8 32 13
14 6 6
22 11 16
0 33 11
23 8 4
15 22 10
28 7 10
27 31 15
32 18 8
15 12 11
18 33 16
38 30 9
14 39 13
9 27 7
10 28 13
35 17 2
4 5 13
18 28 1
24 12 13
16 34 6
18 21 15
10 23 8
9 23 5
33 1 2
10 29 9
8 34 16
12 11 8
5 17 11
4 36 2
0 11 2
29 1 12
27 5 4
26 4 3
12 17 7
33 8 9
2 20 16
7 17 9
10 20 13
23 29 15
35 5 8
13 3 3
8 28 11
15 25 8
0 29 11
15 25 12
2 29 8
18 6 8
20 8 6
13 1 7
25 29 9
23 16 2
14 2 3
9 15 8
20 24 1
25 22 1
33 15 9
14 1 9
34 12 5
39 38 2
21 2 5
15 13 11
3 9 5
6 2 12
23 22 7
2 33 10
38 29 5
29 8 12
31 21 14
36 16 5
16 12 9
2 21 13
15 8 6
18 5 5
17 12 15
2 26 12
17 21 12
12 22 4
1 7 12
8 21 1
34 9 5
25 5 5
27 37 15
10 31 7
2 36 9
34 31 8
24 31 9
14 30 3
27 22 13
39 31 13
15 21 7
32 17 7
4 21 14
32 17 13
28 22 8
11 34 1
38 13 14
34 29 11
40 1600
37 17 15
0 21 10
21 32 4
16 33 3
24 33 11
21 32 6
3 1 11
36 38 12
6 1 15
17 0 7
20 13 2
33 8 4
25 13 10
28 7 2
36 26 7
12 23 6
39 27 9
28 2 4
3 32 7
30 20 15
32 3 3
1 16 14
39 21 1
14 31 9
23 39 15
16 20 1
2 6 2
26 28 2
23 35 2
20 25 15
13 14 6
4 19 6
25 28 16
21 20 4
36 24 11
39 35 1
4 32 6
11 38 2
0 31 9
4 15 15
25 35 14
0 35 8
4 19 3
10 36 5
6 28 8
39 2 10
10 19 15
17 32 3
16 1 10
27 29 14
11 10 10
18 33 8
29 38 14
38 30 14
12 14 8
11 31 12
18 26 10
13 37 4
31 25 5
34 14 11
11 25 9
32 15 11
3 27 4
27 25 5
10 13 5
28 39 7
20 32 5
7 25 4
6 14 16
34 12 13
22 23 7
20 32 1
11 37 3
10 23 2
9 20 5
7 37 8
17 30 8
18 25 7
38 18 6
28 33 9
36 20 4
23 20 5
30 26 4
31 19 1
21 32 13
5 9 10
0 38 9
5 13 1
10 9 16
22 23 2
19 1 12
12 19 7
21 29 12
26 10 7
38 35 4
37 1 1
25 34 2
31 27 11
30 27 14
26 0 3
23 37 14
14 29 2
24 27 9
13 33 15
22 24 7
34 37 8
22 1 3
15 34 9
28 39 5
16 8 9
8 10 12
4 36 5
1 32 3
10 20 7
19 20 5
9 32 13
19 1 15
38 4 5
7 5 6
5 18 15
33 2 3
34 21 7
39 23 16
2 16 10
25 1 1
37 18 16
32 34 11
37 29 13
35 18 7
17 13 3
24 10 8
34 9 6
37 5 15
19 33 1
27 22 10
33 10 10
17 9 6
37 31 15
38 7 7
8 9 14
34 21 5
38 25 7
36 26 1
33 1 15
23 30 11
11 6 12
34 4 6
34 26 5
33 17 3
38 6 9
8 13 11
10 14 7
19 32 2
26 17 7
1 19 1
23 16 7
26 1 2
33 13 3
29 17 7
6 3 10
15 25 1
14 1 3
6 17 1
27 21 13
39 34 11
14 4 7
14 12 7
4 31 1
17 14 15
12 8 16
7 26 4
15 5 16
30 37 8
37 30 1
31 11 11
39 37 16
26 33 14
1 5 9
17 37 8
32 30 6
25 0 2
38 36 1
24 28 6
38 16 9
30 22 3
16 34 15
39 17 2
2 4 13
31 1 8
32 34 13
18 19 8
39 14 1
13 9 6
6 31 14
25 16 15
8 27 4
19 29 1
30 17 10
13 36 14
14 20 15
38 1 2
15 20 15
33 34 3
2 13 12
25 39 14
33 15 4
39 0 5
21 39 11
16 23 12
31 19 14
10 4 2
5 7 12
38 21 14
35 19 12
4 32 6
11 30 16
32 18 5
25 24 8
19 28 10
30 28 12
5 29 11
3 33 12
12 6 9
1 35 10
23 2 4
26 15 7
8 2 5
28 27 16
39 18 5
37 27 16
37 26 1
5 22 8
13 34 13
12 13 16
17 19 13
37 34 9
16 25 7
14 38 15
38 26 6
6 33 12
31 30 5
19 39 9
28 1 1
6 29 6
37 33 3
12 34 13
32 0 15
19 17 8
2 35 4
1 37 16
8 28 1
18 23 2
1 34 11
31 12 13
1 19 2
2 18 6
31 23 4
20 6 6
9 10 9
29 9 6
39 21 13
7 25 3
7 19 3
29 4 14
10 22 16
32 31 12
3 12 15
37 11 11
6 23 15
19 36 12
31 7 8
24 37 9
20 36 9
29 39 12
34 30 11
32 12 16
25 17 1
7 22 4
16 0 11
24 0 2
23 4 5
1 12 10
14 30 13
29 31 14
18 12 6
13 27 14
13 5 3
3 13 2
26 37 15
10 26 9
39 18 6
36 5 5
38 37 9
6 14 3
1 33 13
22 27 5
14 7 3
3 12 8
18 35 15
16 8 11
38 35 13
9 35 10
6 33 15
36 28 14
34 3 4
9 30 1
31 21 7
36 7 5
31 29 2
36 30 8
11 3 9
23 7 8
6 10 8
15 1 14
28 5 12
30 33 12
5 18 16
30 25 14
8 27 15
2 17 13
14 8 6
8 12 15
3 30 15
5 0 6
34 1 15
5 30 10
29 6 4
3 38 16
34 5 5
3 21 7
35 34 15
6 30 9
33 35 11
6 38 5
9 7 13
9 33 7
18 35 8
4 5 1
0 3 1
6 4 16
20 37 8
39 1 1
5 18 6
26 25 6
33 12 3
34 38 6
32 37 16
39 17 13
35 14 10
30 32 10
33 4 1
23 13 3
16 29 9
39 27 11
10 8 9
31 1 7
2 6 16
33 34 1
36 8 3
14 15 16
5 23 13
5 11 14
22 16 8
25 9 11
4 21 11
9 19 2
29 35 9
15 14 3
3 38 3
2 30 12
36 4 13
10 19 1
0 31 5
29 28 13
22 12 7
31 20 13
12 38 1
6 34 7
3 14 6
3 35 14
12 5 7
18 21 16
18 22 13
21 31 2
36 22 7
1 7 12
15 23 13
29 30 2
37 5 4
19 9 14
18 36 9
9 21 7
24 20 5
38 1 7
31 28 14
9 8 9
27 1 15
15 36 5
37 34 12
3 2 7
21 15 4
24 11 15
36 5 5
37 19 16
7 36 16
30 8 12
24 26 10
24 22 4
5 20 16
7 11 12
23 16 11
36 0 9
28 18 13
6 10 3
24 23 10
18 22 4
1 0 2
3 13 14
33 37 12
18 0 3
25 32 9
31 32 5
16 32 1
33 25 9
16 5 7
25 3 11
16 17 8
6 15 12
8 31 4
25 1 5
16 27 4
16 18 14
17 21 16
16 22 15
37 4 15
27 11 4
35 27 12
16 1 3
5 38 9
24 38 7
15 4 11
36 20 15
39 20 8
14 36 16
30 12 7
38 14 7
29 27 4
34 10 1
12 31 13
32 13 13
0 29 5
13 23 12
31 22 11
14 26 1
12 10 1
34 32 2
3 9 8
13 16 10
36 9 7
22 8 10
15 26 1
26 39 16
15 19 12
29 37 14
11 6 8
7 35 13
20 17 6
0 4 13
20 19 3
13 14 4
8 38 12
36 29 8
9 0 10
28 37 13
0 34 3
6 9 12
12 9 7
38 3 3
23 36 12
30 7 4
32 36 7
15 39 2
21 35 6
17 8 4
2 36 13
7 21 10
28 2 13
35 31 7
25 30 1
25 34 4
3 25 10
36 11 4
35 11 14
26 10 2
31 8 8
7 4 10
7 31 13
12 29 6
23 17 3
7 13 7
37 34 2
31 14 12
35 7 4
25 9 11
7 38 5
1 20 3
9 20 15
2 1 3
34 32 15
19 9 13
27 10 12
15 30 9
10 28 16
29 1 7
29 37 9
6 36 8
34 37 16
14 36 5
8 33 6
28 13 10
17 29 12
31 34 3
22 5 11
15 19 2
14 21 14
29 3 2
14 34 14
8 23 9
5 15 15
6 18 3
13 20 2
17 11 11
38 7 15
19 34 4
23 11 13
25 33 7
10 28 11
34 15 14
37 8 4
31 6 2
32 8 5
31 26 15
21 36 13
3 34 7
37 28 2
27 14 12
16 13 8
31 33 1
21 5 12
14 28 12
21 36 9
4 33 13
36 21 7
16 10 1
3 29 7
9 30 2
16 7 9
35 24 11
26 1 14
25 16 8
12 27 10
35 16 16
1 2 11
4 10 9
6 21 2
15 4 3
17 27 3
17 1 15
9 22 13
13 5 9
39 35 6
12 16 5
26 3 5
17 3 15
10 0 10
20 9 15
0 29 15
3 27 8
14 24 13
37 3 12
23 13 9
16 10 5
39 35 11
7 20 15
21 17 7
9 28 13
6 8 9
18 14 15
24 31 13
37 25 4
8 25 7
29 32 9
6 13 7
7 34 7
20 34 8
2 32 1
26 11 5
19 7 8
2 19 10
29 33 6
27 0 16
2 1 5
10 38 2
35 1 9
21 24 13
38 11 10
11 15 13
9 12 4
1 13 8
6 7 14
24 18 8
13 23 15
9 1 13
16 35 5
22 3 16
20 16 11
28 21 10
23 25 1
20 27 8
37 18 12
32 25 2
1 26 11
18 24 9
6 15 2
35 8 15
17 25 2
9 35 14
5 20 13
26 32 3
15 29 10
3 7 5
3 8 9
14 12 11
35 32 11
16 20 6
33 15 15
22 28 14
12 23 11
7 5 10
3 30 11
30 11 7
11 20 12
25 5 8
34 26 11
33 31 3
35 0 5
25 35 15
15 6 9
11 19 1
38 26 16
19 16 7
1 32 12
33 19 10
29 36 16
25 14 11
4 10 15
1 12 5
31 25 14
29 13 14
1 17 16
22 0 6
32 33 15
32 14 15
0 35 16
15 13 1
10 14 12
18 30 3
25 18 10
13 38 5
17 31 12
19 11 5
0 14 12
31 0 6
0 35 2
39 10 6
35 28 6
33 24 9
26 21 15
18 4 3
22 38 2
13 24 7
34 6 12
6 20 4
32 20 12
39 0 2
8 13 14
8 17 5
25 10 5
19 39 13
14 1 14
11 5 14
12 17 3
30 0 13
17 25 11
18 28 3
19 23 4
23 26 9
15 33 13
26 24 6
0 33 10
12 15 9
3 36 16
36 12 4
35 1 3
20 31 13
1 36 14
1 13 15
19 12 7
5 17 9
37 20 16
29 20 11
36 35 8
3 27 16
29 21 10
28 7 10
33 6 9
35 12 9
8 16 12
33 38 3
3 35 15
1 29 3
15 37 10
19 16 11
14 18 2
22 34 10
14 18 14
8 26 15
25 28 9
3 25 8
23 29 5
